,City,State,Zip,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,MIS_Status,GrAppv,SBA_Appv,NAICS2,DiffJobs
117,Boston,MA,2131,BANK OF AMERICA NATL ASSOC,MA,453110,1997-05-02,1997-01-01,12,3,1.0,0,0,0,0,-,N,P I F,30000.0,15000.0,45,0
118,HUNTINGTON,WV,25701,JPMORGAN CHASE BANK NATL ASSOC,IL,0,1997-02-28,1997-01-01,71,19,2.0,0,0,1,0,N,N,CHGOFF,180000.0,135000.0,0,0
119,Wappapello,MO,0,WELLS FARGO BANK NATL ASSOC,SD,451120,1997-05-02,1997-01-01,4,3,1.0,0,0,0,0,-,N,CHGOFF,20000.0,10000.0,45,0
120,Olney,MD,20832,MANUFACTURERS & TRADERS TR CO,NY,445230,1997-05-05,1997-01-01,84,20,1.0,0,0,0,0,-,N,P I F,50000.0,25000.0,44,0
121,MERIDIAN,ID,83642,U.S. BANK NATIONAL ASSOCIATION,ID,0,1997-02-28,1997-01-01,300,12,1.0,0,0,0,0,-,N,P I F,290000.0,217500.0,0,0
122,Watertown (Town of),MA,2172,BANK OF AMERICA NATL ASSOC,RI,0,1997-05-06,1997-01-01,12,3,1.0,0,0,0,0,-,N,P I F,10000.0,5000.0,0,0
123,OVERLAND PARK,KS,66213,BANK OF AMERICA NATL ASSOC,KS,722110,2006-02-07,2006-01-01,60,8,2.0,0,0,0,1,N,N,P I F,95000.0,80750.0,72,0
124,SUN CITY,AZ,85351,WELLS FARGO BANK NATL ASSOC,CA,621210,1997-02-28,1997-01-01,120,6,1.0,0,0,0,0,-,N,P I F,345000.0,258750.0,62,0
125,Alhambra,CA,91803,CALIFORNIA BANK & TRUST,CA,0,1997-05-06,1997-01-01,84,16,1.0,0,0,0,0,-,N,P I F,25000.0,12500.0,0,0
126,BOISE,ID,83714,WELLS FARGO BANK NATL ASSOC,ID,421310,1997-02-28,1997-01-01,96,7,1.0,0,0,0,0,N,N,P I F,230000.0,172500.0,42,0
127,MT PLEASANT,SC,48858,ZIONS FIRST NATIONAL BANK,UT,722211,2006-02-07,2006-01-01,93,50,2.0,0,0,1,2,N,N,P I F,150000.0,127500.0,72,0
128,DILLON,MT,80435,STATE BK & TR CO A DIVISION OF,MT,722410,1997-02-28,1997-01-01,288,3,1.0,0,0,0,0,-,N,P I F,1230000.0,749992.0,72,0
129,Des Moines,IA,60310,FIRST AMERICAN BANK,IA,421110,1997-05-09,1997-01-01,84,3,1.0,0,0,0,0,-,N,P I F,50000.0,25000.0,42,0
130,PASADENA,CA,91011,BANK OF AMERICA NATL ASSOC,CA,722310,2006-02-07,2006-01-01,84,60,1.0,0,0,0,1,N,N,P I F,50000.0,25000.0,72,0
131,GARDEN GROVE,CA,92644,BANK OF AMERICA NATL ASSOC,CA,811111,1997-02-28,1997-01-01,84,1,2.0,0,0,1,0,-,N,P I F,95000.0,76000.0,81,0
132,Sebring,OH,33870,THE HUNTINGTON NATIONAL BANK,OH,233210,1997-05-09,1997-01-01,84,1,1.0,0,0,0,0,-,N,P I F,25000.0,12500.0,23,0
133,Briggsdale,CO,80611,WELLS FARGO BANK NATL ASSOC,SD,0,1997-05-14,1997-01-01,84,1,1.0,0,0,0,0,-,N,P I F,10000.0,5000.0,0,0
134,THE COLONY,TX,75056,JPMORGAN CHASE BANK NATL ASSOC,TX,0,1997-02-28,1997-01-01,84,1,2.0,0,0,1,0,-,N,P I F,76300.0,61040.0,0,0
135,California,MD,22741,COMMERCE BANK,MO,0,1997-05-16,1997-01-01,84,1,1.0,0,0,0,0,-,N,P I F,20000.0,10000.0,0,0
136,JACKSONVILLE,FL,28540,BANK OF AMERICA NATL ASSOC,FL,0,1997-02-28,1997-01-01,12,19,1.0,0,0,0,0,N,N,P I F,200000.0,150000.0,0,0
137,Canton (Town of),MA,2021,WELLS FARGO BANK NATL ASSOC,SD,235310,1997-05-16,1997-01-01,84,8,1.0,0,0,0,0,-,N,P I F,25000.0,12500.0,23,0
138,CRANSTON,RI,2920,CITIZENS BANK NATL ASSOC,RI,0,1997-05-19,1997-01-01,60,6,1.0,0,0,0,0,-,N,P I F,20000.0,10000.0,0,0
139,NEW BRAUNFELS,TX,78132,FIRST COMM. BANK NATL ASSOC,TX,0,1997-02-28,1997-01-01,84,8,2.0,0,0,0,0,-,N,P I F,1000000.0,750000.0,0,0
140,WICHITA,KS,67213,INTRUST BANK NATL ASSOC,KS,0,1997-02-28,1997-01-01,84,5,2.0,0,0,0,0,N,Y,P I F,83400.0,66720.0,0,0
141,Las Vegas,NV,89102,"BEAL BANK, S.S.B.",CA,0,1997-05-20,1997-01-01,84,2,1.0,0,0,0,0,-,N,P I F,10000.0,5000.0,0,0
142,READING (TOWN OF),MA,1867,CITIZENS BANK NATL ASSOC,MA,0,1997-05-21,1997-01-01,84,4,0.0,0,0,0,0,-,N,P I F,100000.0,50000.0,0,0
143,BRANDON,MS,33511,TRUSTMARK NATIONAL BANK,MS,713940,2006-02-07,2006-01-01,84,5,2.0,0,0,0,1,N,N,P I F,275000.0,206250.0,71,0
144,EL CERRITO,CA,94530,WELLS FARGO BANK NATL ASSOC,CA,441120,1997-02-28,1997-01-01,120,10,1.0,0,0,0,0,-,N,P I F,50000.0,37500.0,44,0
145,Cambridge,MA,2130,THE HUNTINGTON NATIONAL BANK,OH,541310,1997-05-22,1997-01-01,12,1,1.0,0,0,0,0,-,N,P I F,100000.0,50000.0,54,0
146,Reading (Town of),MA,1867,BANK OF AMERICA NATL ASSOC,NC,334113,1997-05-23,1997-01-01,12,4,1.0,0,0,0,0,-,N,P I F,100000.0,50000.0,33,0
147,HOUSTON,TX,77055,JPMORGAN CHASE BANK NATL ASSOC,TX,0,1997-02-28,1997-01-01,180,6,1.0,0,0,0,0,-,N,P I F,157500.0,118125.0,0,0
148,NORTH PROVIDENCE,RI,2904,CITIZENS BANK NATL ASSOC,RI,541940,1997-05-23,1997-01-01,12,18,1.0,0,0,0,0,-,N,P I F,100000.0,50000.0,54,0
